VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,AUGUST,,,,,
Trucks and Lorries,BNG CENTRAL,56615,2020,AUGUST,,,,,
Trucks and Lorries,BNG WEST,16717,2020,AUGUST,,,,,
Trucks and Lorries,BNG EAST,10059,2020,AUGUST,,,,,
Trucks and Lorries,BNG NORTH,12315,2020,AUGUST,,,,,
Trucks and Lorries,BNG SOUTH,22826,2020,AUGUST,,,,,
Trucks and Lorries,KR Puram,10355,2020,AUGUST,,,,,
Trucks and Lorries,Jnana Bharati,6819,2020,AUGUST,,,,,
Trucks and Lorries,Electronic City,16726,2020,AUGUST,,,,,
Trucks and Lorries,Yelahanka,6097,2020,AUGUST,,,,,
Trucks and Lorries,Devanahalli,4100,2020,AUGUST,,,,,
Trucks and Lorries,Chandapura,8691,2020,AUGUST,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18388,2020,AUGUST,,,,,
Light Goods Four Wheeler,BNG WEST,15874,2020,AUGUST,,,,,
Light Goods Four Wheeler,BNG EAST,9543,2020,AUGUST,,,,,
Light Goods Four Wheeler,BNG NORTH,16232,2020,AUGUST,,,,,
Light Goods Four Wheeler,BNG SOUTH,25024,2020,AUGUST,,,,,
Light Goods Four Wheeler,KR Puram,17888,2020,AUGUST,,,,,
Light Goods Four Wheeler,Jnana Bharati,12626,2020,AUGUST,,,,,
Light Goods Four Wheeler,Electronic City,24606,2020,AUGUST,,,,,
Light Goods Four Wheeler,Yelahanka,6994,2020,AUGUST,,,,,
Light Goods Four Wheeler,Devanahalli,5068,2020,AUGUST,,,,,
Light Goods Four Wheeler,Chandapura,15574,2020,AUGUST,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9030,2020,AUGUST,,,,,
Light Goods Three Wheeler,BNG WEST,15471,2020,AUGUST,,,,,
Light Goods Three Wheeler,BNG EAST,6712,2020,AUGUST,,,,,
Light Goods Three Wheeler,BNG NORTH,6109,2020,AUGUST,,,,,
Light Goods Three Wheeler,BNG SOUTH,11310,2020,AUGUST,,,,,
Light Goods Three Wheeler,KR Puram,2166,2020,AUGUST,,,,,
Light Goods Three Wheeler,Jnana Bharati,4537,2020,AUGUST,,,,,
Light Goods Three Wheeler,Electronic City,3068,2020,AUGUST,,,,,
Light Goods Three Wheeler,Yelahanka,1114,2020,AUGUST,,,,,
Light Goods Three Wheeler,Devanahalli,743,2020,AUGUST,,,,,
Light Goods Three Wheeler,Chandapura,815,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10927,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,Electronic City,1008,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,SEPTEMBER,,,,,
Multi Axled Articulated Vehicle,Chandapura,457,2020,SEPTEMBER,,,,,
Trucks and Lorries,BNG CENTRAL,56674,2020,SEPTEMBER,,,,,
Trucks and Lorries,BNG WEST,16723,2020,SEPTEMBER,,,,,
Trucks and Lorries,BNG EAST,10070,2020,SEPTEMBER,,,,,
Trucks and Lorries,BNG NORTH,12318,2020,SEPTEMBER,,,,,
Trucks and Lorries,BNG SOUTH,22833,2020,SEPTEMBER,,,,,
Trucks and Lorries,KR Puram,10365,2020,SEPTEMBER,,,,,
Trucks and Lorries,Jnana Bharati,6822,2020,SEPTEMBER,,,,,
Trucks and Lorries,Electronic City,16801,2020,SEPTEMBER,,,,,
Trucks and Lorries,Yelahanka,6099,2020,SEPTEMBER,,,,,
Trucks and Lorries,Devanahalli,4105,2020,SEPTEMBER,,,,,
Trucks and Lorries,Chandapura,8698,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18415,2020,SEPTEMBER,,,,,
Light Goods Four Wheeler,BNG WEST,15920,2020,SEPTEMBER,,,,,
